"Year","Scenario","age_group","Total_Population","Percentage"
0,"AI_BrainMorphometry_All_Areas","65 to 69",63192.136181995,22.4141688900721
0,"AI_BrainMorphometry_All_Areas","70-74",73568.5383116111,26.0946652913124
0,"AI_BrainMorphometry_All_Areas","75-79",62939.7725909632,22.3246558510635
0,"AI_BrainMorphometry_All_Areas","80-84",41687.62107484,14.7865452230593
0,"AI_BrainMorphometry_All_Areas","85+",40541.3510928241,14.3799647444927
0,"Standard_Care_All_Areas","65 to 69",63192.136181995,22.4141688900721
0,"Standard_Care_All_Areas","70-74",73568.5383116111,26.0946652913124
0,"Standard_Care_All_Areas","75-79",62939.7725909631,22.3246558510635
0,"Standard_Care_All_Areas","80-84",41687.62107484,14.7865452230593
0,"Standard_Care_All_Areas","85+",40541.3510928241,14.3799647444927
1,"AI_BrainMorphometry_All_Areas","65 to 69",68933.3520126903,24.2230746594806
1,"AI_BrainMorphometry_All_Areas","70-74",69435.2511512535,24.3994412505424
1,"AI_BrainMorphometry_All_Areas","75-79",62455.9232376792,21.946916076772
1,"AI_BrainMorphometry_All_Areas","80-84",43063.9957792481,15.1326223727557
1,"AI_BrainMorphometry_All_Areas","85+",40688.695954031,14.2979456404492
1,"Standard_Care_All_Areas","65 to 69",68933.3405667799,24.2230707214982
1,"Standard_Care_All_Areas","70-74",69435.2513732517,24.3994414132576
1,"Standard_Care_All_Areas","75-79",62455.9233770416,21.9469162019348
1,"Standard_Care_All_Areas","80-84",43063.9960305667,15.1326225136033
1,"Standard_Care_All_Areas","85+",40688.7057993215,14.2979491497062
2,"AI_BrainMorphometry_All_Areas","65 to 69",73591.3104708243,25.6171700395636
2,"AI_BrainMorphometry_All_Areas","70-74",67304.4307398426,23.4287042267324
2,"AI_BrainMorphometry_All_Areas","75-79",61230.9772308345,21.3145321828832
2,"AI_BrainMorphometry_All_Areas","80-84",43952.2112380609,15.2997855547987
2,"AI_BrainMorphometry_All_Areas","85+",41194.4512488098,14.3398079960221
2,"Standard_Care_All_Areas","65 to 69",73591.2821252616,25.6171603788682
2,"Standard_Care_All_Areas","70-74",67304.4288136382,23.4287037449948
2,"Standard_Care_All_Areas","75-79",61230.9776221512,21.314532490841
2,"Standard_Care_All_Areas","80-84",43952.2121850781,15.2997860077327
2,"Standard_Care_All_Areas","85+",41194.4778675589,14.3398173775633
3,"AI_BrainMorphometry_All_Areas","65 to 69",77409.2725602156,26.6936650716283
3,"AI_BrainMorphometry_All_Areas","70-74",66525.9110220246,22.9406675540774
3,"AI_BrainMorphometry_All_Areas","75-79",59829.3219571502,20.631428625614
