"age_group","gender","area","population_Death","population_Dx_Mild","population_Dx_Moderate","population_Dx_Severe","population_MCI","population_Other_Healthy","population_Undx_Mild","population_Undx_Moderate","population_Undx_Severe","original_population_Death","original_population_Dx_Mild","original_population_Dx_Moderate","original_population_Dx_Severe","original_population_MCI","original_population_Other_Healthy","original_population_Undx_Mild","original_population_Undx_Moderate","original_population_Undx_Severe","Year","Scenario","AI_Enabled","Total_Population","Diagnosed_Dementia","Undiagnosed_Dementia","Death_Count","Living_Population","Cumulative_Deaths","Original_Total_Population","Original_Diagnosed_Dementia","Original_Undiagnosed_Dementia","Original_Death_Count","Original_Living_Population","Original_Cumulative_Deaths","Other_Healthy","MCI","Undx_Mild","Undx_Moderate","Undx_Severe","Dx_Mild","Dx_Moderate","Dx_Severe","Death","neuropsych_tests","neuroimaging_tests","ai_morphometry_tests","biomarker_tests","gp_tests","mc_total","total_neuroimaging_tests","neuropsych_diagnosed","neuroimaging_diagnosed","ai_morphometry_diagnosed","biomarker_diagnosed","gp_diagnosed","total_neuroimaging_diagnosed","original_neuropsych_tests","original_neuroimaging_tests","original_ai_morphometry_tests","original_biomarker_tests","original_gp_tests","original_mc_total","original_total_neuroimaging_tests","original_neuropsych_diagnosed","original_neuroimaging_diagnosed","original_ai_morphometry_diagnosed","original_biomarker_diagnosed","original_gp_diagnosed","original_total_neuroimaging_diagnosed","queue_size_gp","queue_size_mc","queue_size_mri","avg_wait_gp","avg_wait_mc","avg_wait_mri","Subgroup_Cost","Subgroup_Discounted_Cost","Subgroup_QALYs","Subgroup_Discounted_QALYs","original_pop_ratio","Original_Subgroup_Cost","Original_Subgroup_Discounted_Cost","Original_Subgroup_QALYs","Original_Subgroup_Discounted_QALYs","Cost_Per_Person","QALYs_Per_Person","Total_Cost","Discounted_Cost","Total_QALYs","Discounted_QALYs","Wait_Cost_GP_Telephone","Wait_Cost_GP_Face_to_Face","Wait_Cost_Transport","Wait_Cost_Caregiver","Wait_Cost_Total"
"65 to 69","Female","Rural",483.868984786113,35.0454275872958,10.2172920971054,24.8424308490587,338.538746516618,14989.8342290174,350.49769024378,160.896122734075,16.8400275549526,483.868984786113,35.0387664610142,10.2144074271057,24.8411039641169,338.538746516618,14989.8342290174,350.504351370061,160.899007404074,16.8413544398944,0,"AI_Urban_Rural",TRUE,15926.7119666003,70.1051505334599,528.233840532807,483.868984786113,15926.7119666003,483.868984786113,15926.7119666003,70.0942778522368,528.24471321403,483.868984786113,15926.7119666003,483.868984786113,14989.8342290174,338.538746516618,350.49769024378,160.896122734075,16.8400275549526,35.0454275872958,10.2172920971054,24.8424308490587,483.868984786113,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.0338587141317691,0.0442286360055974,0,28136511.5882212,28136511.5882212,10757.6143173053,10757.6143173053,1,28136511.5882212,28136511.5882212,10757.6143173053,10757.6143173053,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,10.9994522344866,40.6979732676006,25.0677516423951,3431.82909715983,3508.59427430432
"65 to 69","Female","Urban",556.778122514202,40.3263058712383,11.7569371529777,28.5857259008941,389.549596296514,17248.4949877923,403.310257007753,185.139761834274,19.3774245833644,556.778122514202,40.3183903469256,11.7535092528672,28.5841491420139,389.549596296514,17248.4949877923,403.318172532066,185.143189734384,19.3790013422446,0,"AI_Urban_Rural",TRUE,18326.5409964394,80.6689689251101,607.827443425391,556.778122514202,18326.5409964394,556.778122514202,18326.5409964394,80.6560487418067,607.840363608695,556.778122514202,18326.5409964394,556.778122514202,17248.4949877923,389.549596296514,403.310257007753,185.139761834274,19.3774245833644,40.3263058712383,11.7569371529777,28.5857259008941,556.778122514202,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.011069134842329,0.0169138082845499,0,32376107.1462634,32376107.1462634,12378.5662868406,12378.5662868406,1,32376107.1462634,32376107.1462634,12378.5662868406,12378.5662868406,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,12.6568442209811,46.8303236176302,28.844947979616,3948.93539694611,4037.26751276434
"65 to 69","Male","Rural",418.515765877253,33.0278514769726,9.62881293657366,23.4119291182099,292.056915621096,12857.8481172228,328.490745729275,142.128176041272,15.8702105294243,418.515765877253,33.0210301864043,9.6262023482469,23.4106084977447,292.056915621096,12857.8481172228,328.497567019844,142.130786629599,15.8715311498894,0,"AI_Urban_Rural",TRUE,13702.4627586757,66.0685935317562,486.489132299972,418.515765877253,13702.4627586757,418.515765877253,13702.4627586757,66.057841032396,486.499884799332,418.515765877253,13702.4627586757,418.515765877253,12857.8481172228,292.056915621096,328.490745729275,142.128176041272,15.8702105294243,33.0278514769726,9.62881293657366,23.4119291182099,418.515765877253,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.0338587141317691,0.0442286360055974,0,24207099.5573447,24207099.5573447,9255.25682037795,9255.25682037795,1,24207099.5573447,24207099.5573447,9255.25682037795,9255.25682037795,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,9.4633207987284,35.0142869552951,21.566908100302,2952.55608920326,3018.60060505759
"65 to 69","Male","Urban",465.36759781554,36.7254879871092,10.706830299238,26.0328862229745,324.751983866403,14297.2532440845,365.264245410075,158.0389880675,17.6467943418805,465.36759781554,36.7176549801672,10.7038325151264,26.031369731459,324.751983866403,14297.2532440845,365.272078417017,158.041985851612,17.648310833396,0,"AI_Urban_Rural",TRUE,15236.4204602797,73.4652045093217,540.950027819456,465.36759781554,15236.4204602797,465.36759781554,15236.4204602797,73.4528572267526,540.962375102025,465.36759781554,15236.4204602797,465.36759781554,14297.2532440845,324.751983866403,365.264245410075,158.0389880675,17.6467943418805,36.7254879871092,10.706830299238,26.0328862229745,465.36759781554,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.011069134842329,0.0169138082845499,0,26917026.0467251,26917026.0467251,10291.3605288849,10291.3605288849,1,26917026.0467251,26917026.0467251,10291.3605288849,10291.3605288849,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,10.5227167684615,38.9340520433075,23.9812715153237,3283.08763175998,3356.52567208707
"70-74","Female","Rural",559.000407339738,42.4493681745587,12.3694965221087,30.0460207494791,602.205822950627,18383.2166673627,508.63225615473,194.612233171238,20.2684998074504,55.8807087377713,8.75969161525356,2.55360185677642,6.21027599102922,107.771711795563,3706.53049865571,102.924643396843,40.1805548958051,4.18759166884367,0,"AI_Urban_Rural",TRUE,19793.8003648928,84.8648854461465,723.512989133419,559.000407339738,19793.8003648928,559.000407339738,3979.11856987582,17.5235694630592,147.292789961491,55.8807087377713,3979.11856987582,55.8807087377713,18383.2166673627,602.205822950627,508.63225615473,194.612233171238,20.2684998074504,42.4493681745587,12.3694965221087,30.0460207494791,559.000407339738,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.0338587141317691,0.0442286360055974,0,34968202.7595948,34968202.7595948,13369.6189549856,13369.6189549856,0.201028528959672,7029606.36112489,7029606.36112489,2687.6748312721,2687.6748312721,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,13.6701763747083,50.5796525864207,31.1543319579602,4265.09502890899,4360.49918982808
"70-74","Female","Urban",557.828850292626,43.1363065195991,12.5707341378557,30.5288963949307,609.018761219368,18661.9138108846,516.397047723877,197.71888889719,20.5913858808822,64.3007861095548,10.0795975867314,2.9383773132168,7.14603728550348,124.010699673589,4265.02866885629,118.433277421716,46.234940903175,4.81857589666658,0,"AI_Urban_Rural",TRUE,20091.8758316583,86.2359370523855,734.70732250195,557.828850292626,20091.8758316583,557.828850292626,4578.69017493688,20.1640121854517,169.486794221558,64.3007861095548,4578.69017493688,64.3007861095548,18661.9138108846,609.018761219368,516.397047723877,197.71888889719,20.5913858808822,43.1363065195991,12.5707341378557,30.5288963949307,557.828850292626,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.011069134842329,0.0169138082845499,0,35494790.0327493,35494790.0327493,13570.9524703802,13570.9524703802,0.227887640422422,8088823.94785255,8088823.94785255,3092.65233675978,3092.65233675978,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,13.8760359938082,51.3413331770904,31.6234860298889,4329.32323006816,4426.16408526895
"70-74","Male","Rural",512.765771744962,77.1819190432633,22.4911031732771,54.6096314842955,509.665443863765,15252.5642336128,718.576306242053,331.530387081625,36.833706873066,48.3278448555242,8.25525754660108,2.40655058706173,5.85265212443618,92.8602898764727,3179.35535361073,95.2346062782342,35.4910448203159,3.94644574771424,0,"AI_Urban_Rural",TRUE,17003.4527313742,154.282653700836,1086.94040019674,512.765771744962,17003.4527313742,512.765771744962,3423.40220059156,16.514460258099,134.672096846264,48.3278448555242,3423.40220059156,48.3278448555242,15252.5642336128,509.665443863765,718.576306242053,331.530387081625,36.833706873066,77.1819190432633,22.4911031732771,54.6096314842955,512.765771744962,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.0338587141317691,0.0442286360055974,0,30038707.664166,30038707.664166,11484.8932366108,11484.8932366108,0.201335708380853,6047864.48641021,6047864.48641021,2312.31911547149,2312.31911547149,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,11.7430808400577,43.4493991082135,26.7624812344915,3663.841222098,3745.79618328077
"70-74","Male","Urban",493.986800963177,74.5185322403839,21.7155363660667,52.7260234299775,498.352613937356,14979.6807310385,696.769965317252,320.083929183055,35.5620521732544,53.7380306829673,9.1794137450418,2.6759581287816,6.50784243286476,103.255775661611,3535.27652754125,105.895891065688,39.4641818029818,4.38824084362397,0,"AI_Urban_Rural",TRUE,16679.4093836859,148.960092036428,1052.41594667356,493.986800963177,16679.4093836859,493.986800963177,3806.64383122184,18.3632143066882,149.748313712294,53.7380306829673,3806.64383122184,53.7380306829673,14979.6807310385,498.352613937356,696.769965317252,320.083929183055,35.5620521732544,74.5185322403839,21.7155363660667,52.7260234299775,493.986800963177,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.011069134842329,0.0169138082845499,0,29466244.9093653,29466244.9093653,11266.0198518324,11266.0198518324,0.228224138136757,6724908.34856648,6724908.34856648,2571.17767091605,2571.17767091605,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,11.5192870443091,42.6213620639435,26.2524551739804,3594.01755782443,3674.41066210666
"75-79","Female","Rural",736.831898831021,79.9504718498979,23.1666978577727,55.7644671015766,951.978534036092,15469.0820609028,775.000773432368,362.207986071297,36.1529082696602,0,0,0,0,0,0,0,0,0,0,"AI_Urban_Rural",TRUE,17753.3038995215,158.881636809247,1173.36166777333,736.831898831021,17753.3038995215,736.831898831021,0,0,0,0,0,0,15469.0820609028,951.978534036092,775.000773432368,362.207986071297,36.1529082696602,79.9504718498979,23.1666978577727,55.7644671015766,736.831898831021,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.0338587141317691,0.0442286360055974,0,31363412.7336281,31363412.7336281,11991.3762871755,11991.3762871755,0,0,0,0,0,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,12.2609499472725,45.3655148049083,27.942704929834,3825.41638354902,3910.98555323103
"75-79","Female","Urban",671.311908840597,72.8528679104292,21.1119566684297,50.8194141174004,873.688480393495,14247.4197748541,708.513900988121,330.04600367696,32.9436294600295,0,0,0,0,0,0,0,0,0,0,"AI_Urban_Rural",TRUE,16337.396028069,144.784238696259,1071.50353412511,671.311908840597,16337.396028069,671.311908840597,0,0,0,0,0,0,14247.4197748541,873.688480393495,708.513900988121,330.04600367696,32.9436294600295,72.8528679104292,21.1119566684297,50.8194141174004,671.311908840597,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,0,0,0,0.011069134842329,0.0169138082845499,0,28862035.9072924,28862035.9072924,11035.0087191636,11035.0087191636,0,0,0,0,0,1766.62399917986,0.675444771015197,498063278.125837,498063278.125837,190427.752029272,190427.752029272,11.2830826364844,41.7474057549924,25.714145328548,3520.32178258314,3599.06641630316
