"age_group","gender","area","population_Death","population_Dx_Mild","population_Dx_Moderate","population_Dx_Severe","population_MCI","population_Other_Healthy","population_Undx_Mild","population_Undx_Moderate","population_Undx_Severe","original_population_Death","original_population_Dx_Mild","original_population_Dx_Moderate","original_population_Dx_Severe","original_population_MCI","original_population_Other_Healthy","original_population_Undx_Mild","original_population_Undx_Moderate","original_population_Undx_Severe","Year","Scenario","AI_Enabled","Total_Population","Diagnosed_Dementia","Undiagnosed_Dementia","Death_Count","Living_Population","Cumulative_Deaths","Original_Total_Population","Original_Diagnosed_Dementia","Original_Undiagnosed_Dementia","Original_Death_Count","Original_Living_Population","Original_Cumulative_Deaths","Other_Healthy","MCI","Undx_Mild","Undx_Moderate","Undx_Severe","Dx_Mild","Dx_Moderate","Dx_Severe","Death","neuropsych_tests","neuroimaging_tests","ai_morphometry_tests","biomarker_tests","gp_tests","mc_total","total_neuroimaging_tests","neuropsych_diagnosed","neuroimaging_diagnosed","ai_morphometry_diagnosed","biomarker_diagnosed","gp_diagnosed","total_neuroimaging_diagnosed","original_neuropsych_tests","original_neuroimaging_tests","original_ai_morphometry_tests","original_biomarker_tests","original_gp_tests","original_mc_total","original_total_neuroimaging_tests","original_neuropsych_diagnosed","original_neuroimaging_diagnosed","original_ai_morphometry_diagnosed","original_biomarker_diagnosed","original_gp_diagnosed","original_total_neuroimaging_diagnosed","queue_size_gp","queue_size_mc","queue_size_mri","avg_wait_gp","avg_wait_mc","avg_wait_mri","Subgroup_Cost","Subgroup_Discounted_Cost","Subgroup_QALYs","Subgroup_Discounted_QALYs","original_pop_ratio","Original_Subgroup_Cost","Original_Subgroup_Discounted_Cost","Original_Subgroup_QALYs","Original_Subgroup_Discounted_QALYs","Cost_Per_Person","QALYs_Per_Person","Total_Cost","Discounted_Cost","Total_QALYs","Discounted_QALYs","Wait_Cost_GP_Telephone","Wait_Cost_GP_Face_to_Face","Wait_Cost_Transport","Wait_Cost_Caregiver","Wait_Cost_Total"
"65 to 69","Female","Rural",483.868984786113,35.0453938060149,10.2172815554291,24.8424272553054,338.538746516618,14989.8342290174,350.49772402506,160.896133275751,16.8400311487059,483.868984786113,35.0387664610142,10.2144074271057,24.8411039641169,338.538746516618,14989.8342290174,350.504351370061,160.899007404074,16.8413544398944,0,"No_AI_Urban_Rural",FALSE,15926.7119666003,70.1051026167494,528.233888449517,483.868984786113,15926.7119666003,483.868984786113,15926.7119666003,70.0942778522368,528.24471321403,483.868984786113,15926.7119666003,483.868984786113,14989.8342290174,338.538746516618,350.49772402506,160.896133275751,16.8400311487059,35.0453938060149,10.2172815554291,24.8424272553054,483.868984786113,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.0338587141317691,0.0442286360055974,0,28136453.2266428,28136453.2266428,10757.6138455151,10757.6138455151,1,28136453.2266428,28136453.2266428,10757.6138455151,10757.6138455151,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,10.9994522344866,40.6979732676006,25.0677516423951,3431.82909715983,3508.59427430432
"65 to 69","Female","Urban",556.778122514202,40.3262657283947,11.7569246261329,28.5857216303789,389.549596296514,17248.4949877923,403.310297150597,185.139774361119,19.3774288538797,556.778122514202,40.3183903469256,11.7535092528672,28.5841491420139,389.549596296514,17248.4949877923,403.318172532066,185.143189734384,19.3790013422446,0,"No_AI_Urban_Rural",FALSE,18326.5409964394,80.6689119849065,607.827500365595,556.778122514202,18326.5409964394,556.778122514202,18326.5409964394,80.6560487418067,607.840363608695,556.778122514202,18326.5409964394,556.778122514202,17248.4949877923,389.549596296514,403.310297150597,185.139774361119,19.3774288538797,40.3262657283947,11.7569246261329,28.5857216303789,556.778122514202,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.011069134842329,0.0169138082845499,0,32376039.9907915,32376039.9907915,12378.5657439613,12378.5657439613,1,32376039.9907914,32376039.9907914,12378.5657439612,12378.5657439612,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,12.6568442209811,46.8303236176302,28.844947979616,3948.93539694611,4037.26751276434
"65 to 69","Male","Rural",418.515765877253,33.0278168793013,9.62880339238846,23.4119255391404,292.056915621096,12857.8481172228,328.490780326947,142.128185585457,15.8702141084937,418.515765877253,33.0210301864043,9.6262023482469,23.4106084977447,292.056915621096,12857.8481172228,328.497567019844,142.130786629599,15.8715311498894,0,"No_AI_Urban_Rural",FALSE,13702.4627586757,66.0685458108301,486.489180020898,418.515765877253,13702.4627586757,418.515765877253,13702.4627586757,66.057841032396,486.499884799332,418.515765877253,13702.4627586757,418.515765877253,12857.8481172228,292.056915621096,328.490780326947,142.128185585457,15.8702141084937,33.0278168793013,9.62880339238846,23.4119255391404,418.515765877253,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.0338587141317691,0.0442286360055974,0,24207049.3462681,24207049.3462681,9255.2564144757,9255.2564144757,1,24207049.3462681,24207049.3462681,9255.2564144757,9255.2564144757,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,9.4633207987284,35.0142869552951,21.566908100302,2952.55608920326,3018.60060505759
"65 to 69","Male","Urban",465.36759781554,36.7254482579997,10.7068193394837,26.0328821130666,324.751983866403,14297.2532440845,365.264285139185,158.038999027255,17.6467984517884,465.36759781554,36.7176549801672,10.7038325151264,26.031369731459,324.751983866403,14297.2532440845,365.272078417017,158.041985851612,17.648310833396,0,"No_AI_Urban_Rural",FALSE,15236.4204602797,73.46514971055,540.950082618228,465.36759781554,15236.4204602797,465.36759781554,15236.4204602797,73.4528572267526,540.962375102025,465.36759781554,15236.4204602797,465.36759781554,14297.2532440845,324.751983866403,365.264285139185,158.038999027255,17.6467984517884,36.7254482579997,10.7068193394837,26.0328821130666,465.36759781554,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.011069134842329,0.0169138082845499,0,26916970.2146394,26916970.2146394,10291.3600775428,10291.3600775428,1,26916970.2146395,26916970.2146395,10291.3600775428,10291.3600775428,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,10.5227167684615,38.9340520433075,23.9812715153237,3283.08763175998,3356.52567208707
"70-74","Female","Rural",559.000407339738,42.4493049305872,12.3694728659667,30.0460110939109,602.205822950627,18383.2166673627,508.632319398702,194.61225682738,20.2685094630186,55.8807087377713,8.75969161525356,2.55360185677642,6.21027599102922,107.771711795563,3706.53049865571,102.924643396843,40.1805548958051,4.18759166884367,0,"No_AI_Urban_Rural",FALSE,19793.8003648928,84.8647888904648,723.513085689101,559.000407339738,19793.8003648928,559.000407339738,3979.11856987582,17.5235694630592,147.292789961491,55.8807087377713,3979.11856987582,55.8807087377713,18383.2166673627,602.205822950627,508.632319398702,194.61225682738,20.2685094630186,42.4493049305872,12.3694728659667,30.0460110939109,559.000407339738,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.0338587141317691,0.0442286360055974,0,34968130.227522,34968130.227522,13369.6183686422,13369.6183686422,0.201028528959672,7029591.78010899,7029591.78010899,2687.67471340035,2687.67471340035,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,13.6701763747083,50.5796525864207,31.1543319579602,4265.09502890899,4360.49918982807
"70-74","Female","Urban",557.828850292626,43.1277668133896,12.5675398966017,30.5275926229904,609.018761219368,18661.9138108846,516.405587430087,197.722083138444,20.5926896528225,64.3007861095548,10.0795975867314,2.9383773132168,7.14603728550348,124.010699673589,4265.02866885629,118.433277421716,46.234940903175,4.81857589666658,0,"No_AI_Urban_Rural",FALSE,20091.8758316583,86.2228993329817,734.720360221353,557.828850292626,20091.8758316583,557.828850292626,4578.69017493688,20.1640121854517,169.486794221558,64.3007861095548,4578.69017493688,64.3007861095548,18661.9138108846,609.018761219368,516.405587430087,197.722083138444,20.5926896528225,43.1277668133896,12.5675398966017,30.5275926229904,557.828850292626,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.011069134842329,0.0169138082845499,0,35494716.4084138,35494716.4084138,13570.9518752071,13570.9518752071,0.227887640422422,8088807.16977643,8088807.16977643,3092.65220112718,3092.65220112718,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,13.8760359938082,51.3413331770904,31.6234860298889,4329.32323006816,4426.16408526895
"70-74","Male","Rural",512.765771744962,77.1816925906439,22.4910260116438,54.6095996131861,509.665443863765,15252.5642336128,718.576532694672,331.530464243259,36.8337387441754,48.3278448555242,8.25525754660108,2.40655058706173,5.85265212443618,92.8602898764727,3179.35535361073,95.2346062782342,35.4910448203159,3.94644574771424,0,"No_AI_Urban_Rural",FALSE,17003.4527313742,154.282318215474,1086.94073568211,512.765771744962,17003.4527313742,512.765771744962,3423.40220059156,16.514460258099,134.672096846264,48.3278448555242,3423.40220059156,48.3278448555242,15252.5642336128,509.665443863765,718.576532694672,331.530464243259,36.8337387441754,77.1816925906439,22.4910260116438,54.6095996131861,512.765771744962,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.0338587141317691,0.0442286360055974,0,30038645.3569967,30038645.3569967,11484.8927329247,11484.8927329247,0.201335708380853,6047851.94175213,6047851.94175213,2312.3190140615,2312.3190140615,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,11.7430808400577,43.4493991082135,26.7624812344915,3663.84122209801,3745.79618328077
"70-74","Male","Urban",493.986800963177,74.5183056153775,21.7154591456941,52.7259915346063,498.352613937356,14979.6807310385,696.770191942259,320.084006403428,35.5620840686257,53.7380306829673,9.1794137450418,2.6759581287816,6.50784243286476,103.255775661611,3535.27652754125,105.895891065688,39.4641818029818,4.38824084362397,0,"No_AI_Urban_Rural",FALSE,16679.4093836859,148.959756295678,1052.41628241431,493.986800963177,16679.4093836859,493.986800963177,3806.64383122184,18.3632143066882,149.748313712294,53.7380306829673,3806.64383122184,53.7380306829673,14979.6807310385,498.352613937356,696.770191942259,320.084006403428,35.5620840686257,74.5183056153775,21.7154591456941,52.7259915346063,493.986800963177,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.011069134842329,0.0169138082845499,0,29466183.789615,29466183.789615,11266.0193577453,11266.0193577453,0.228224138136757,6724894.39956415,6724894.39956415,2571.17755815345,2571.17755815345,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,11.5192870443091,42.6213620639435,26.2524551739803,3594.01755782443,3674.41066210666
"75-79","Female","Rural",736.831898831021,79.950075879767,23.1665267986762,55.7644005785946,951.978534036092,15469.0820609028,775.001169402499,362.208157130393,36.1529747926421,0,0,0,0,0,0,0,0,0,0,"No_AI_Urban_Rural",FALSE,17753.3038995215,158.881003257038,1173.36230132553,736.831898831021,17753.3038995215,736.831898831021,0,0,0,0,0,0,15469.0820609028,951.978534036092,775.001169402499,362.208157130393,36.1529747926421,79.950075879767,23.1665267986762,55.7644005785946,736.831898831021,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.0338587141317691,0.0442286360055974,0,31363347.6787166,31363347.6787166,11991.3757612769,11991.3757612769,0,0,0,0,0,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,12.2609499472725,45.3655148049082,27.942704929834,3825.41638354902,3910.98555323103
"75-79","Female","Urban",671.311908840597,72.852494477988,21.1117953456151,50.8193513807503,873.688480393495,14247.4197748541,708.514274420563,330.046164999775,32.9436921966796,0,0,0,0,0,0,0,0,0,0,"No_AI_Urban_Rural",FALSE,16337.396028069,144.783641204353,1071.50413161702,671.311908840597,16337.396028069,671.311908840597,0,0,0,0,0,0,14247.4197748541,873.688480393495,708.514274420563,330.046164999775,32.9436921966796,72.852494477988,21.1117953456151,50.8193513807503,671.311908840597,9.19310189117511,61.426635363761,0,1.67147307112275,308.444528865629,72.2912103260588,61.426635363761,2.44914466127111,15.8090940721544,0,0.443772407583145,3.66227877127909,15.8090940721544,2.53474958434826,16.9367358590543,0,0.460863560790593,85.0452492087751,19.9323490041931,16.9367358590543,0.675285500547429,4.35893076163802,0,0.122358257200043,1.00977447037526,4.35893076163802,0,0,0,0.011069134842329,0.0169138082845499,0,28861976.0408102,28861976.0408102,11035.0082352079,11035.0082352079,0,0,0,0,0,1766.6203347965,0.675444741392621,498062245.028363,498062245.028363,190427.743677797,190427.743677797,11.2830826364844,41.7474057549924,25.714145328548,3520.32178258314,3599.06641630316
