"Year","Scenario","age_group","Original_Total_Population","Percentage"
0,"AI_BrainMorphometry_All_Areas","65 to 69",63192.136181995,80.0103107318693
0,"AI_BrainMorphometry_All_Areas","70-74",15787.8547766261,19.9896892681307
0,"Standard_Care_All_Areas","65 to 69",63192.136181995,80.0103107318693
0,"Standard_Care_All_Areas","70-74",15787.8547766261,19.9896892681307
1,"AI_BrainMorphometry_All_Areas","65 to 69",49194.461878773,64.0478596183319
1,"AI_BrainMorphometry_All_Areas","70-74",24563.1948138995,31.9796170775313
1,"AI_BrainMorphometry_All_Areas","75-79",3051.25178909117,3.9725233041368
1,"Standard_Care_All_Areas","65 to 69",49194.461878773,64.0478596183319
1,"Standard_Care_All_Areas","70-74",24563.1948138995,31.9796170775313
1,"Standard_Care_All_Areas","75-79",3051.25178909117,3.9725233041368
2,"AI_BrainMorphometry_All_Areas","65 to 69",38276.5768310146,51.3178327462963
2,"AI_BrainMorphometry_All_Areas","70-74",28644.282907058,38.4037090320711
2,"AI_BrainMorphometry_All_Areas","75-79",7086.58719598458,9.50106635896734
2,"AI_BrainMorphometry_All_Areas","80-84",579.835463945253,0.777391862665293
2,"Standard_Care_All_Areas","65 to 69",38276.5768310146,51.3178327462963
2,"Standard_Care_All_Areas","70-74",28644.282907058,38.4037090320711
2,"Standard_Care_All_Areas","75-79",7086.58719598458,9.50106635896734
2,"Standard_Care_All_Areas","80-84",579.835463945253,0.777391862665293
3,"AI_BrainMorphometry_All_Areas","65 to 69",29764.8546301119,41.176672103569
3,"AI_BrainMorphometry_All_Areas","70-74",29672.5845766431,41.0490257977537
3,"AI_BrainMorphometry_All_Areas","75-79",10963.3090105155,15.1666314486012
3,"AI_BrainMorphometry_All_Areas","80-84",1780.24979347605,2.4627959020586
3,"AI_BrainMorphometry_All_Areas","85+",104.723757264011,0.144874748017465
3,"Standard_Care_All_Areas","65 to 69",29764.8546301119,41.176672103569
3,"Standard_Care_All_Areas","70-74",29672.5845766431,41.0490257977537
3,"Standard_Care_All_Areas","75-79",10963.3090105155,15.1666314486012
