"Year","Scenario","AI_Enabled","Total_Population","Deaths","Diagnosed_Dementia","Undiagnosed_Dementia","MCI","Healthy","Total_Cost","Discounted_Cost","Total_QALYs","Discounted_QALYs","neuropsych_tests","neuroimaging_tests","ai_morphometry_tests","biomarker_tests","gp_tests","mc_total","total_neuroimaging_tests","neuropsych_diagnosed","neuroimaging_diagnosed","ai_morphometry_diagnosed","biomarker_diagnosed","gp_diagnosed","total_neuroimaging_diagnosed","original_neuropsych_tests","original_neuroimaging_tests","original_ai_morphometry_tests","original_biomarker_tests","original_gp_tests","original_mc_total","original_total_neuroimaging_tests","original_neuropsych_diagnosed","original_neuroimaging_diagnosed","original_ai_morphometry_diagnosed","original_biomarker_diagnosed","original_gp_diagnosed","original_total_neuroimaging_diagnosed","Total_MRI_Scans","Original_Total_MRI_Scans","Original_Total_Population","Original_Deaths","Original_Diagnosed_Dementia","Original_Undiagnosed_Dementia","Original_Other_Healthy","Original_MCI","Avg_Wait_GP","Avg_Wait_MC","Avg_Wait_MRI","Total_Backlog"
0,"AI_Urban_Rural",TRUE,281929.419252233,17115.2232391483,3611.47690735165,24933.2676280053,10722.1476179544,242662.527098922,498063278.125837,498063278.125837,190427.752029272,190427.752029272,9.19310189117511,56.836146266186,5,1.67147307112275,308.444528865629,72.7007212284839,61.836146266186,2.44914466127111,14.8455438024932,1.120143058,0.443772407583145,3.66227877127909,15.9656868604932,2.53474958434826,15.6710324577678,1.37861497368015,0.460863560790593,85.0452492087751,20.0452605765868,17.049647431448,0.675285500547429,4.09325779570834,0.308849198484534,0.122358257200043,1.00977447037526,4.40210699419287,61.836146266186,17.049647431448,78979.9909586211,2146.77784137893,362.82628106649,2764.74733146569,74079.621626781,1772.79571930787,0.022463924487049,0.0305712221450736,0,0
1,"AI_Urban_Rural",TRUE,284577.218134902,34506.1352690918,5339.34640387011,22810.8260340773,14797.636485504,241629.409211451,532809607.068047,514793635.488904,192092.253938867,185596.380617263,8.35247973061476,51.6562420066577,5,1.51863267829359,286.035015065151,66.527354415566,56.6562420066577,2.14223516170538,12.8805069460407,1.185455946,0.388293327473078,3.21007213218307,14.0659628920407,2.21860596621441,13.7210565490054,1.32811215218065,0.403382902948075,75.9773158914406,17.6711575703485,15.049168701186,0.56902571021792,3.4213515602568,0.314883689551483,0.103139417365531,0.85266716162576,3.73623524980828,56.6562420066577,15.049168701186,76808.9084817637,4317.86031823629,653.642756006354,2945.66562893712,70776.1676895033,2433.43240731692,0.0209454314862661,0.0279150498377165,0,0
2,"AI_Urban_Rural",TRUE,287273.380928372,52074.8600031194,6805.68191455814,21249.3545501027,17779.0788836417,241439.26558007,549740431.551566,513191638.73487,193871.273249121,180980.908071714,7.89048331526645,45.3832993720269,9,1.43463333004844,274.769441924214,63.7084160173417,54.3832993720269,1.9580623583393,10.5396821223818,2.573724922,0.35501790083037,2.94046618605285,13.1134070443818,2.01796840140366,11.6066482146918,2.30172410066362,0.366903345709757,70.271494066984,16.2932440624689,13.9083723153554,0.500768813421312,2.6954933727133,0.658222742382889,0.090794806500919,0.752015765291588,3.35371611509619,54.3832993720269,13.9083723153554,74587.2823980024,6539.48826571454,976.174489908447,3090.5475609604,67515.85964298,3004.70070415359,0.0202249050423603,0.0265080848703439,0,0
3,"AI_Urban_Rural",TRUE,289991.173383272,69818.3458775449,7747.90628511966,20402.4123571479,19953.8745903879,241886.980150617,559026089.334144,504213565.340502,195717.803043084,176526.24482408,7.50921791459129,25.985518227441,27,1.36531234810751,264.660061934735,61.8600484901398,52.985518227441,1.81785980844617,5.46961687625575,7.136988814,0.32967176265897,2.73484175650316,12.6066056902557,1.84573135302819,6.3871213037881,6.63647627470317,0.335587518732398,65.05223044042,15.2049164502519,13.0235975784913,0.446821610721831,1.34440676411064,1.75423914581233,0.0810318085676233,0.672211571559287,3.09864590992297,52.985518227441,13.0235975784913,72285.7217680105,8841.0980495647,1291.70305586004,3223.1819861348,64276.9578688592,3493.87885715646,0.0195672987868083,0.0253480013812964,0,0
4,"AI_Urban_Rural",TRUE,292714.884023485,87692.2855037992,8346.2281913332,20061.4712479295,21536.6007552098,242770.583829013,567128057.158345,494224327.017301,197578.47280237,172178.22448418,7.33539479678662,19.0299161740967,34,1.3337081448703,260.16092905251,61.6990191157536,53.0299161740967,1.75263766683111,4.2306741173272,8.441248692,0.317879273457608,2.63941455160126,12.6719228093272,1.72912136401704,4.48578918022223,8.01458244651442,0.314385702548552,61.3259180956802,14.5438786933022,12.5003716267366,0.41313703175543,0.997267250519218,1.98979657628135,0.0749314601518854,0.622170751009945,2.98706382680057,53.0299161740967,12.5003716267366,69876.4567309056,11250.5648371336,1577.97813096308,3354.01480805944,61044.120214682,3900.34357720117,0.0192971237506189,0.0248542147080705,0,0
5,"AI_Urban_Rural",TRUE,295446.645547006,105694.955930447,8760.85246032735,20012.5268706993,22692.0765950451,243981.189620935,576062286.813683,485034916.363281,199441.619740519,167924.492176318,7.30780656556168,10.7581622697068,43,1.3286921028294,259.787457318648,62.3946609380979,53.7581622697068,1.73784798177874,2.92136481703005,9.856872232,0.31520632936611,2.61812618025924,12.77823704903,1.64744383486767,2.42527876822261,9.69375479000039,0.299535242703213,58.565486250341,14.0660126357939,12.119033558223,0.391773772038607,0.658581260195898,2.22209540496214,0.0710589038402597,0.590220306993335,2.88067666515803,53.7581622697068,12.119033558223,67335.4483536763,13792.0803017855,1824.91233298536,3481.69786409641,57807.4336565091,4221.4045000855,0.0193105267709512,0.0248262647564691,0,0
6,"AI_Urban_Rural",TRUE,298194.461688852,123839.028612835,9081.4803441819,20109.5691344248,23544.8404607655,245458.571749479,585822937.977515,476574206.915731,201313.833215734,163768.933029063,7.35477591172478,7.61995846039247,47,1.33723198394996,261.55102783112,63.3119663560672,54.6199584603925,1.74830257518189,1.97404266172522,11.14750515,0.317099131405652,2.63388665034515,13.1215478117252,1.58027108900886,1.63724907447015,10.0985729646791,0.28732201618343,56.1977050753057,13.6034151443415,11.7358220391492,0.375645981272567,0.424149230953646,2.39518923683852,0.0681329513943899,0.565925457855417,2.81933846779217,54.6199584603925,11.7358220391492,64645.9059683541,16482.6225774668,2027.83848809429,3599.41140608387,54563.1279451204,4455.52812905555,0.0194662840569546,0.0250287551027009,0,0
7,"AI_Urban_Rural",TRUE,300965.405040405,142132.717299115,9350.54602219293,20268.8240798369,24186.9657610375,247159.069177338,595876362.687752,468361212.285968,203203.423988008,159716.054434576,7.42881922069202,6.41426359517318,49,1.35069440376218,264.100870067186,64.1937772196274,55.4142635951732,1.76777123647599,1.69643681105352,11.493694262,0.32062282173768,2.66281300405012,13.1901310730535,1.51525954241099,1.30832018270869,9.99455167401723,0.275501734983817,53.8687712865184,13.0936331341207,11.3028718567259,0.360573081036747,0.346022966730192,2.34437390259009,0.0653975787699277,0.543135146269877,2.69039686932028,55.4142635951732,11.3028718567259,61801.2613247351,19328.9585063694,2184.6557455606,3698.75484656321,51314.0439810772,4603.80675153405,0.0196685670254747,0.0253060516432712,0,0
8,"AI_Urban_Rural",TRUE,303763.696473324,160576.025032355,9587.89331219677,20446.9400824648,24685.2455933852,249043.617485278,605758375.530412,460028532.913954,205114.873050189,155766.604946143,7.50528104498983,5.09137282399398,51,1.36459655363451,266.730051838506,64.9612504226183,56.091372823994,1.78789283583072,1.45073218061118,12.047332602,0.32426539571413,2.69262366935972,13.4980647826112,1.44675289018776,0.981436711561107,9.83099726143246,0.263045980034139,51.4161256699233,12.5222328432155,10.8124339729936,0.344642540642873,0.279649884209028,2.32229987878094,0.0625069062204494,0.519042665089092,2.60194976298997,56.091372823994,10.8124339729936,58806.5770725724,22326.2047938522,2294.95000218711,3772.00161562548,48069.326568225,4670.29888653474,0.019867846498078,0.0255781959275195,0,0
9,"AI_Urban_Rural",TRUE,306591.014397598,179163.698966471,9802.39652833571,20625.276356492,25087.3699462033,251075.971566567,615206506.947144,451405454.350641,207048.826851917,151918.137016776,7.57367037287141,8.64741970811769,48,1.37703097688571,269.139107569083,65.5981210578748,56.6474197081177,1.80507822984433,1.89931690780416,11.659548816,0.327377828433559,2.71807289951724,13.5588657238042,1.37304061590083,1.56770203843521,8.70198283243383,0.249643748345605,48.7925811167234,11.8923692351155,10.269684870869,0.327244995152196,0.344329648438815,2.11377486730742,0.0593507550572562,0.492762993935473,2.45810451574624,56.6474197081177,10.269684870869,55678.2422654779,25458.1055273139,2359.82903362975,3813.30236349608,44843.4034233458,4661.7074450062,0.0200445511375279,0.025813130274626,0,0
